titulo,isbn,ano_publicacao,nome_categoria,nome_autor
Dom Casmurro,978-85-3012-101-4,1899,Romance,Machado de Assis
Memórias Póstumas de Brás Cubas,978-85-3012-102-1,1881,Romance,Machado de Assis
A Hora da Estrela,978-85-3012-103-8,1977,Romance,Clarice Lispector
"Gabriela, Cravo e Canela",978-85-3012-104-5,1958,Romance,Jorge Amado
Terras do Sem-Fim,978-85-3012-105-2,1943,História,Jorge Amado
O Alquimista,978-85-3012-106-9,1988,Romance,Paulo Coelho
Fundação,978-85-3012-107-6,1951,Ficção Científica,Isaac Asimov
Eu Robô,978-85-3012-108-3,1950,Ficção Científica,Isaac Asimov
Harry Potter e a Pedra Filosofal,978-85-3012-109-0,1997,Infantil,J.K. Rowling
Harry Potter e a Câmara Secreta,978-85-3012-110-7,1998,Infantil,J.K. Rowling
Reinações de Narizinho,978-85-3012-111-4,1921,Infantil,Monteiro Lobato
O Sítio do Picapau Amarelo,978-85-3012-112-1,1923,Infantil,Monteiro Lobato
Cem Anos de Solidão,978-85-3012-113-8,1967,Romance,Gabriel García Márquez
Notícia de um Sequestro,978-85-3012-114-5,1996,História,Gabriel García Márquez
O Iluminado,978-85-3012-115-2,1977,Ficção Científica,Stephen King
Carrie a Estranha,978-85-3012-116-9,1974,Romance,Stephen King
Mrs Dalloway,978-85-3012-117-6,1925,Romance,Virginia Woolf
Orlando,978-85-3012-118-3,1928,Romance,Virginia Woolf
Introdução à Engenharia de Dados,978-85-3012-119-0,2021,Técnico,Isaac Asimov
Sobre a Escrita,978-85-3012-120-7,2000,Técnico,Stephen King
